epoch,Train_Loss,Train_dice_liver,Train_dice_tumor,Val_Loss,Val_dice_liver,Val_dice_tumor
136,0.2416,0.9249,0.6541,0.2762,0.9009,0.359
137,0.2327,0.9372,0.6218,0.2831,0.8864,0.3137
138,0.2215,0.9326,0.6412,0.2814,0.8637,0.3933
139,0.2324,0.9358,0.6421,0.3006,0.8942,0.222
140,0.2202,0.9361,0.6523,0.2643,0.8997,0.3805
141,0.2426,0.9288,0.6052,0.2668,0.8434,0.4135
142,0.2338,0.9385,0.5822,0.2717,0.8675,0.4169
143,0.2307,0.927,0.6383,0.2873,0.893,0.3477
144,0.2454,0.9263,0.5832,0.2801,0.9134,0.3761
145,0.2206,0.9345,0.6792,0.2888,0.8852,0.329
146,0.2504,0.9251,0.5867,0.2705,0.9002,0.3712
147,0.2409,0.9344,0.5562,0.2714,0.8945,0.298
148,0.2199,0.9331,0.6481,0.2559,0.913,0.4062
149,0.2184,0.9375,0.7184,0.257,0.9025,0.3802
150,0.2144,0.9343,0.6318,0.2656,0.901,0.3325
151,0.2592,0.9107,0.5458,0.2719,0.863,0.3776
152,0.2729,0.8985,0.4819,0.2926,0.8902,0.3169
153,0.2667,0.9087,0.4527,0.3083,0.8406,0.1999
154,0.255,0.9107,0.4888,0.3034,0.8363,0.3779
155,0.2577,0.8987,0.5151,0.267,0.8817,0.334
156,0.2599,0.9188,0.4666,0.2789,0.8795,0.2559
157,0.2445,0.918,0.4817,0.2565,0.8528,0.3399
158,0.2401,0.9158,0.6264,0.2798,0.8642,0.2589
159,0.2497,0.9198,0.5906,0.2785,0.9038,0.3522
160,0.2562,0.9116,0.4802,0.269,0.8989,0.3112
161,0.2562,0.9221,0.5687,0.3088,0.8454,0.1935
162,0.2617,0.9076,0.5085,0.2753,0.9158,0.4414
163,0.247,0.9161,0.5388,0.2695,0.9142,0.3899
164,0.2653,0.9171,0.5208,0.2746,0.9009,0.2822
165,0.2531,0.9121,0.5594,0.286,0.8815,0.2215
166,0.2511,0.9215,0.5071,0.2618,0.9079,0.3086
167,0.2575,0.9156,0.5255,0.2736,0.8659,0.2831
168,0.2442,0.9176,0.5772,0.3074,0.8361,0.2464
169,0.2334,0.9195,0.6152,0.2593,0.894,0.4112
170,0.2318,0.9278,0.5293,0.2806,0.8941,0.2839
171,0.2658,0.9081,0.4895,0.277,0.8993,0.3031
172,0.2499,0.9192,0.5839,0.2618,0.9121,0.2912
173,0.2387,0.926,0.5768,0.2808,0.8685,0.2662
174,0.2384,0.9207,0.6375,0.2631,0.8973,0.3034
175,0.2503,0.9252,0.5515,0.2694,0.8927,0.3934
176,0.2452,0.9237,0.5429,0.2758,0.8761,0.4312
177,0.2513,0.918,0.5577,0.2986,0.8363,0.335
178,0.2254,0.9247,0.5917,0.2587,0.8457,0.3718
179,0.2567,0.9,0.5434,0.2861,0.8652,0.2349
180,0.2487,0.9204,0.5974,0.2781,0.8821,0.2523
181,0.2556,0.9206,0.5009,0.2876,0.8811,0.3031
182,0.2276,0.9246,0.5948,0.2703,0.8705,0.3252
183,0.227,0.9298,0.5913,0.2571,0.9076,0.3553
184,0.2401,0.9313,0.6164,0.2641,0.9003,0.3096
185,0.2492,0.9194,0.5137,0.2822,0.8549,0.2522
186,0.2214,0.9296,0.5493,0.2815,0.8769,0.3504
187,0.2359,0.9333,0.5778,0.2799,0.91,0.2395
188,0.2516,0.912,0.5724,0.2758,0.8929,0.4455
189,0.2402,0.921,0.5398,0.258,0.9025,0.28
190,0.2381,0.9351,0.5677,0.2618,0.8955,0.3679
191,0.2276,0.9332,0.6209,0.2631,0.8767,0.3533
192,0.2265,0.9314,0.6095,0.2495,0.8971,0.3157
193,0.221,0.9257,0.6095,0.251,0.9,0.3281
194,0.2366,0.9314,0.5932,0.2877,0.8895,0.4669
195,0.2532,0.9328,0.5474,0.2762,0.851,0.3267
196,0.2475,0.9217,0.5222,0.29,0.9035,0.3653
197,0.2341,0.92,0.581,0.2897,0.8492,0.2967
198,0.2489,0.9095,0.5803,0.2594,0.8908,0.3229
199,0.2488,0.9192,0.5391,0.3155,0.8518,0.3488
200,0.2372,0.9204,0.6075,0.2642,0.9085,0.5939
201,0.2388,0.9282,0.5444,0.2631,0.8925,0.5667
202,0.2505,0.928,0.5985,0.2699,0.8891,0.4235
203,0.2238,0.9284,0.6089,0.227,0.9027,0.4125
204,0.2276,0.9274,0.5772,0.2592,0.9056,0.3686
205,0.2255,0.9291,0.5984,0.2604,0.9079,0.3202
206,0.2361,0.932,0.6117,0.2362,0.9078,0.4515
207,0.2232,0.9336,0.6016,0.2514,0.8922,0.5228
208,0.2158,0.9354,0.6584,0.2784,0.8696,0.3556
209,0.2308,0.9312,0.5617,0.303,0.8672,0.3741
210,0.2187,0.9301,0.6422,0.274,0.851,0.4191
211,0.2346,0.9256,0.6285,0.2636,0.8661,0.3908
212,0.2194,0.9332,0.6765,0.2579,0.8773,0.3789
213,0.253,0.9108,0.5871,0.2733,0.8844,0.3589
214,0.2186,0.9336,0.6739,0.2341,0.9205,0.5092
215,0.2274,0.9352,0.6339,0.2696,0.8957,0.4496
216,0.224,0.9211,0.6307,0.3078,0.7685,0.2916
